Start Time	2010-01-01	2011-01-01	2012-01-01	2013-01-01	2014-01-01	2015-01-01	2016-01-01	2017-01-01	2018-01-01	2019-01-01	2020-01-01	2021-01-01	2022-01-01	2023-01-01	2024-01-01	2025-01-01	2026-01-01	2027-01-01	2028-01-01	2029-01-01	2030-01-01	2031-01-01	2032-01-01	2033-01-01	2034-01-01	2035-01-01	2036-01-01	2037-01-01	2038-01-01	2039-01-01	2040-01-01	2041-01-01	2042-01-01	2043-01-01	2044-01-01	2045-01-01	2046-01-01	2047-01-01	2048-01-01	2049-01-01	2050-01-01	2051-01-01	2052-01-01	2053-01-01	2054-01-01	2055-01-01	2056-01-01	2057-01-01	2058-01-01	2059-01-01	2060-01-01	2061-01-01	2062-01-01	2063-01-01	2064-01-01	2065-01-01	2066-01-01	2067-01-01	2068-01-01	2069-01-01	2070-01-01	2071-01-01	2072-01-01	2073-01-01	2074-01-01	2075-01-01	2076-01-01	2077-01-01	2078-01-01	2079-01-01	2080-01-01	2081-01-01	2082-01-01	2083-01-01	2084-01-01	2085-01-01	2086-01-01	2087-01-01	2088-01-01	2089-01-01	2090-01-01	2091-01-01	2092-01-01	2093-01-01	2094-01-01	2095-01-01	2096-01-01	2097-01-01	2098-01-01	2099-01-01	2100-01-01	
DE Onshore SA_North 3061 53.0 11.25 100M Generator NWST	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	374.5536543	375.3543453	382.5136153	389.6242333	395.0880743	399.4490957	402.8154363	407.0538817	404.9130667	400.7966917	406.2007503	407.4446653	405.6792837	404.6037587	405.44571	404.0279727	403.6857603	406.6624653	409.4490527	406.98295	410.1749731	413.3153299	416.4032634	419.4380569	422.4190349	425.3455626	428.2170464	431.0329336	433.7927129	436.4959137	439.1421068	441.7309036	444.2619563	446.7349575	449.1496403	451.5057777	453.803182	456.0417054	458.2212386	460.3417108	462.4030895	464.4053795	466.3486227	468.2328975	470.0583182	471.8250346	473.5332308	475.1831253	476.77497	478.3090493	479.7856797	481.2052092	482.568016	483.8745085	485.1251238	486.3203277	487.4606131	488.5464999	489.5785338	490.5572856	491.4833507	492.3573476	493.1799177	493.9517243	494.6734517	495.3458045	495.9695067	496.5453009	497.0739476	497.5562243	497.9929246	498.3848578	498.7328476	499.0377318	499.3003611	499.5215988	499.7023196	499.8434094	499.945764	500.0102889	
DE Onshore SachsenAnhlat_Halle 2795 51.5 11.875 100M Generator NWST	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	365.0853313	374.5536543	375.3543453	382.5136153	389.6242333	395.0880743	399.4490957	402.8154363	407.0538817	404.9130667	400.7966917	406.2007503	407.4446653	405.6792837	404.6037587	405.44571	404.0279727	403.6857603	406.6624653	409.4490527	406.98295	410.1749731	413.3153299	416.4032634	419.4380569	422.4190349	425.3455626	428.2170464	431.0329336	433.7927129	436.4959137	439.1421068	441.7309036	444.2619563	446.7349575	449.1496403	451.5057777	453.803182	456.0417054	458.2212386	460.3417108	462.4030895	464.4053795	466.3486227	468.2328975	470.0583182	471.8250346	473.5332308	475.1831253	476.77497	478.3090493	479.7856797	481.2052092	482.568016	483.8745085	485.1251238	486.3203277	487.4606131	488.5464999	489.5785338	490.5572856	491.4833507	492.3573476	493.1799177	493.9517243	494.6734517	495.3458045	495.9695067	496.5453009	497.0739476	497.5562243	497.9929246	498.3848578	498.7328476	499.0377318	499.3003611	499.5215988	499.7023196	499.8434094	499.945764	500.0102889	
DE PV Total	39332	39332	39332	39332	39332	39332	40679	42339	45181	49016	63721	65824	67996	70240	72558	74952	77425	79980	82620	85346	88163	91072	94077	97182	100389	103702	107124	110659	114311	118083	121980	126005	130163	134459	138896	143479	148214	153105	158158	163377	168768	174338	180091	186034	192173	198515	205066	211833	218823	226044	233504	241209	249169	257392	265886	274660	283724	293087	302759	312750	323070	333732	344745	356122	367874	380013	392554	405508	418890	432713	446993	461744	476981	492721	508981	525778	543128	561052	579566	598692	618449	638858	659940	681718	704215	727454	751460	776258	801874	828336	855671	
DE PV North	9956	9956	9956	9956	9956	9956	10297	10717	11437	12407	17493	18414	19403	20078	20514	20953	21389	21827	22263	22701	23138	23576	24013	24450	24887	25325	25762	26200	26636	27074	27511	27896	28287	28683	29084	29491	29904	30323	30748	31178	31614	32057	32506	32961	33422	33890	34365	34846	35334	35828	36330	36839	37354	37877	38408	38945	39491	40043	40604	41172	41749	42333	42926	43527	44136	44754	45381	46016	46660	47314	47976	48648	49329	50019	50720	51430	52150	52880	53620	54371	55132	55904	56687	57480	58285	59101	59928	60767	61618	62481	63355	
DE PVSAT NRW  2699 51.0 7.5 Generator	7132.156568	7132.156568	7132.156568	7132.156568	7132.156568	7132.156568	7132.156568	7132.156568	7132.156568	7132.156568	7132.156568	7197.994676	7478.367693	7636.708228	7742.179849	7844.266789	7943.215752	8041.221256	8140.022352	8240.428663	8342.385833	8446.580807	8603.376125	8760.040891	8916.705655	9073.37042	9229.904632	9386.830504	9543.364716	9699.898927	9856.563692	10003.41171	10151.43229	10300.61297	10450.94075	10602.40207	10754.98285	10908.66847	11063.44375	11219.293	11376.19993	11534.14775	11693.1191	11853.09607	12014.06021	12175.9925	12338.8734	12502.6828	12667.40005	12833.00394	12999.47273	13166.78414	13334.91532	13503.84292	13673.543	13843.99113	14015.16233	14187.03111	14359.57141	14532.75671	14706.55992	14880.95348	15055.90928	15231.39876	15407.39283	15583.86189	15760.77593	15938.1044	16115.81628	16293.88012	16472.26401	16650.93556	16829.86199	17009.01003	17188.34603	17367.83591	17547.44521	17727.13904	17906.88216	18086.63892	18266.37335	18446.04907	18625.6294	18805.07733	18984.35553	19163.42635	19342.25183	19520.79377	19699.01367	19876.87279	20054.33213	
DE PVSAT S 2708 51.0 13.125 Generator	2626.346381	2626.346381	2626.346381	2626.346381	2626.346381	2626.346381	2626.346381	2626.346381	2626.346381	2626.346381	2626.346381	2689.244396	2932.229472	3136.339844	3244.903251	3356.812149	3471.589545	3588.279812	3705.854616	3824.160595	3943.170752	4062.576553	4137.990855	4213.342363	4288.693871	4364.045379	4439.334093	4514.811187	4590.099903	4665.388617	4740.740125	4811.370043	4882.563933	4954.3158	5026.619387	5099.468179	5172.855401	5246.774021	5321.216741	5396.176005	5471.643991	5547.612613	5624.073525	5701.018115	5778.437503	5856.322551	5934.663851	6013.451733	6092.676267	6172.327253	6252.394235	6332.866488	6413.733033	6494.982628	6576.603771	6658.584705	6740.913419	6823.577643	6906.564857	6989.862292	7073.456928	7157.335503	7241.484507	7325.890191	7410.538567	7495.415412	7580.506269	7665.796456	7751.27106	7836.914945	7922.712761	8008.648939	8094.707699	8180.873052	8267.128811	8353.458585	8439.845793	8526.27366	8612.725229	8699.183363	8785.630748	8872.049903	8958.423181	9044.732777	9130.960733	9217.088943	9303.099156	9388.972992	9474.691937	9560.237355	9645.590492	
DE PVSAT T 2614 50.5 10.0 Generator	1939.933512	1939.933512	1939.933512	1939.933512	1939.933512	1939.933512	1939.933512	1939.933512	1939.933512	1939.933512	4899.680429	5044.456065	5345.484667	5566.92424	5723.254999	5885.074441	6051.940712	6222.696937	6395.787687	6571.106371	6748.764597	6928.321295	7056.932903	7185.437425	7313.941947	7442.446469	7570.843904	7699.5626	7827.960035	7956.357469	8084.861991	8205.314307	8326.728427	8449.094117	8572.400711	8696.637099	8821.791727	8947.8526	9074.807275	9202.642863	9331.346025	9460.902976	9591.299476	9722.52084	9854.551927	9987.377148	10120.98046	10255.34538	10390.45497	10526.29182	10662.83811	10800.07556	10937.98543	11076.54855	11215.74532	11355.55567	11495.95912	11636.93475	11778.46121	11920.51673	12063.07909	12206.12567	12349.63345	12493.57897	12637.93838	12782.68742	12927.80144	13073.25539	13219.02385	13365.081	13511.40067	13657.95629	13804.72096	13951.66743	14098.76807	14245.99493	14393.31975	14540.71389	14688.14848	14835.59424	14983.02168	15130.40099	15277.70204	15424.89449	15571.94772	15718.83083	15865.51272	16011.96203	16158.14719	16304.03641	16449.59772	
DE Onshore North Total	21816	23816	25816	27816	29816	31816	33816	35816	37816	39816	41816	43612	45632	47491	49351	51372	53555	55070	56178	56393	56219	56290	56463	56218	56068	56185	55989	55941	56354	56740	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	56399	
DE Onshore Middle Total	7195	7195	7195	7195	7195	7195	7195	7195	7195	7195	7195	7503	7851	8171	8491	8839	9214	9475	9665	9702	9672	9685	9714	9672	9647	9667	9633	9625	9696	9762	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	9703	
DE Onshore Hessen_Fulda 2613 50.5 9.375 100M Generator NWST	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	279.2289042	300.9511685	328.2113088	395.067432	481.1879483	568.8692587	646.871478	719.5454363	765.1340267	783.115315	785.6574217	788.063353	784.6488217	782.568584	784.197053	781.4549217	780.7930277	786.550453	791.9401597	787.170322	793.3442069	799.4181608	805.3907194	811.260497	817.0261868	822.6865609	828.2404712	833.6868489	839.0247047	844.2531289	849.3712909	854.3784392	859.2739012	864.0570824	868.7274664	873.284614	877.7281626	882.057826	886.2733928	890.3747263	894.3617634	898.2345135	901.9930576	905.6375474	909.168204	912.5853169	915.8892424	919.0804032	922.1592862	925.1264416	927.9824818	930.7280795	933.3639666	935.8909326	938.3098234	940.6215394	942.8270343	944.9273136	946.9234327	948.8164959	950.6076543	952.2981045	953.889087	955.3818848	956.7778215	958.0782596	959.2845997	960.3982781	961.4207657	962.3535661	963.1982146	963.9562763	964.6293444	965.2190393	965.7270065	966.1549157	966.5044589	966.7773491	966.9753194	967.1001208	
DE Onshore Hessen_Kassel 2703 51.0 10.0 100M Generator NWST	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	279.2289042	300.9511685	328.2113088	395.067432	481.1879483	568.8692587	646.871478	719.5454363	765.1340267	783.115315	785.6574217	788.063353	784.6488217	782.568584	784.197053	781.4549217	780.7930277	786.550453	791.9401597	787.170322	793.3442069	799.4181608	805.3907194	811.260497	817.0261868	822.6865609	828.2404712	833.6868489	839.0247047	844.2531289	849.3712909	854.3784392	859.2739012	864.0570824	868.7274664	873.284614	877.7281626	882.057826	886.2733928	890.3747263	894.3617634	898.2345135	901.9930576	905.6375474	909.168204	912.5853169	915.8892424	919.0804032	922.1592862	925.1264416	927.9824818	930.7280795	933.3639666	935.8909326	938.3098234	940.6215394	942.8270343	944.9273136	946.9234327	948.8164959	950.6076543	952.2981045	953.889087	955.3818848	956.7778215	958.0782596	959.2845997	960.3982781	961.4207657	962.3535661	963.1982146	963.9562763	964.6293444	965.2190393	965.7270065	966.1549157	966.5044589	966.7773491	966.9753194	967.1001208	
DE Onshore Hessen_Middle 2702 51.0 9.375 100M Generator NWST	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	254.7493819	279.2289042	300.9511685	328.2113088	395.067432	481.1879483	568.8692587	646.871478	719.5454363	765.1340267	783.115315	785.6574217	788.063353	784.6488217	782.568584	784.197053	781.4549217	780.7930277	786.550453	791.9401597	787.170322	793.3442069	799.4181608	805.3907194	811.260497	817.0261868	822.6865609	828.2404712	833.6868489	839.0247047	844.2531289	849.3712909	854.3784392	859.2739012	864.0570824	868.7274664	873.284614	877.7281626	882.057826	886.2733928	890.3747263	894.3617634	898.2345135	901.9930576	905.6375474	909.168204	912.5853169	915.8892424	919.0804032	922.1592862	925.1264416	927.9824818	930.7280795	933.3639666	935.8909326	938.3098234	940.6215394	942.8270343	944.9273136	946.9234327	948.8164959	950.6076543	952.2981045	953.889087	955.3818848	956.7778215	958.0782596	959.2845997	960.3982781	961.4207657	962.3535661	963.1982146	963.9562763	964.6293444	965.2190393	965.7270065	966.1549157	966.5044589	966.7773491	966.9753194	967.1001208	
DE Onshore NRW_East 2790 51.5 8.75 100M Generator NWST	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	428.9233723	456.9491743	467.2104937	479.7141373	497.3178697	515.668513	525.5848397	532.9604577	533.8890183	534.311657	537.5416923	539.187815	536.851615	535.4283297	536.5425177	534.666369	534.2135057	538.1526987	541.8403007	538.576809	542.8009408	546.9567006	551.0430863	555.0591499	559.0039973	562.8767884	566.6767377	570.4031138	574.0552401	577.6324938	581.1343069	584.5601652	587.9096084	591.1822299	594.3776762	597.4956469	600.5358939	603.4982214	606.3824848	609.1885905	611.9164953	614.5662057	617.1377771	619.6313133	622.0469656	624.3849319	626.6454563	628.8288277	630.9353794	632.9654878	634.9195719	636.798092	638.6015488	640.3304825	641.9854718	643.5671328	645.0761181	646.5131155	647.8788472	649.1740687	650.3995676	651.5561626	652.6447025	653.6660651	654.6211558	655.5109071	656.3362772	657.0982487	657.797828	658.436044	659.013947	659.5326079	659.9931167	660.3965821	660.74413	661.0369026	661.2760578	661.4627675	661.5982175	661.6836058	
DE Onshore NRW_Munster 2877 52.0 7.5 100M Generator NWST	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	428.9233723	456.9491743	467.2104937	479.7141373	497.3178697	515.668513	525.5848397	532.9604577	533.8890183	534.311657	537.5416923	539.187815	536.851615	535.4283297	536.5425177	534.666369	534.2135057	538.1526987	541.8403007	538.576809	542.8009408	546.9567006	551.0430863	555.0591499	559.0039973	562.8767884	566.6767377	570.4031138	574.0552401	577.6324938	581.1343069	584.5601652	587.9096084	591.1822299	594.3776762	597.4956469	600.5358939	603.4982214	606.3824848	609.1885905	611.9164953	614.5662057	617.1377771	619.6313133	622.0469656	624.3849319	626.6454563	628.8288277	630.9353794	632.9654878	634.9195719	636.798092	638.6015488	640.3304825	641.9854718	643.5671328	645.0761181	646.5131155	647.8788472	649.1740687	650.3995676	651.5561626	652.6447025	653.6660651	654.6211558	655.5109071	656.3362772	657.0982487	657.797828	658.436044	659.013947	659.5326079	659.9931167	660.3965821	660.74413	661.0369026	661.2760578	661.4627675	661.5982175	661.6836058	
DE Onshore NRW_Northwest 2876 52.0 6.875 100M Generator NWST	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	428.9233723	456.9491743	467.2104937	479.7141373	497.3178697	515.668513	525.5848397	532.9604577	533.8890183	534.311657	537.5416923	539.187815	536.851615	535.4283297	536.5425177	534.666369	534.2135057	538.1526987	541.8403007	538.576809	542.8009408	546.9567006	551.0430863	555.0591499	559.0039973	562.8767884	566.6767377	570.4031138	574.0552401	577.6324938	581.1343069	584.5601652	587.9096084	591.1822299	594.3776762	597.4956469	600.5358939	603.4982214	606.3824848	609.1885905	611.9164953	614.5662057	617.1377771	619.6313133	622.0469656	624.3849319	626.6454563	628.8288277	630.9353794	632.9654878	634.9195719	636.798092	638.6015488	640.3304825	641.9854718	643.5671328	645.0761181	646.5131155	647.8788472	649.1740687	650.3995676	651.5561626	652.6447025	653.6660651	654.6211558	655.5109071	656.3362772	657.0982487	657.797828	658.436044	659.013947	659.5326079	659.9931167	660.3965821	660.74413	661.0369026	661.2760578	661.4627675	661.5982175	661.6836058	
DE Onshore NRW_SouthWest 2608 50.5 6.25 100M Generator NWST	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	428.9233723	456.9491743	467.2104937	479.7141373	497.3178697	515.668513	525.5848397	532.9604577	533.8890183	534.311657	537.5416923	539.187815	536.851615	535.4283297	536.5425177	534.666369	534.2135057	538.1526987	541.8403007	538.576809	542.8009408	546.9567006	551.0430863	555.0591499	559.0039973	562.8767884	566.6767377	570.4031138	574.0552401	577.6324938	581.1343069	584.5601652	587.9096084	591.1822299	594.3776762	597.4956469	600.5358939	603.4982214	606.3824848	609.1885905	611.9164953	614.5662057	617.1377771	619.6313133	622.0469656	624.3849319	626.6454563	628.8288277	630.9353794	632.9654878	634.9195719	636.798092	638.6015488	640.3304825	641.9854718	643.5671328	645.0761181	646.5131155	647.8788472	649.1740687	650.3995676	651.5561626	652.6447025	653.6660651	654.6211558	655.5109071	656.3362772	657.0982487	657.797828	658.436044	659.013947	659.5326079	659.9931167	660.3965821	660.74413	661.0369026	661.2760578	661.4627675	661.5982175	661.6836058	
DE Onshore NRW_West 2697 51.0 6.25 100M Generator NWST	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	406.5771617	428.9233723	456.9491743	467.2104937	479.7141373	497.3178697	515.668513	525.5848397	532.9604577	533.8890183	534.311657	537.5416923	539.187815	536.851615	535.4283297	536.5425177	534.666369	534.2135057	538.1526987	541.8403007	538.576809	542.8009408	546.9567006	551.0430863	555.0591499	559.0039973	562.8767884	566.6767377	570.4031138	574.0552401	577.6324938	581.1343069	584.5601652	587.9096084	591.1822299	594.3776762	597.4956469	600.5358939	603.4982214	606.3824848	609.1885905	611.9164953	614.5662057	617.1377771	619.6313133	622.0469656	624.3849319	626.6454563	628.8288277	630.9353794	632.9654878	634.9195719	636.798092	638.6015488	640.3304825	641.9854718	643.5671328	645.0761181	646.5131155	647.8788472	649.1740687	650.3995676	651.5561626	652.6447025	653.6660651	654.6211558	655.5109071	656.3362772	657.0982487	657.797828	658.436044	659.013947	659.5326079	659.9931167	660.3965821	660.74413	661.0369026	661.2760578	661.4627675	661.5982175	661.6836058	
DE Onshore Thuringen 2704 51.0 10.625 100M Generator NWST	214.7665614	214.7665614	214.7665614	214.7665614	214.7665614	214.7665614	214.7665614	214.7665614	214.7665614	214.7665614	214.7665614	215.8571166	216.1677547	225.5291141	236.3097873	247.7772709	257.4806164	256.1565576	254.7739902	250.5133285	246.5673842	245.5699115	246.3219242	245.2546573	244.6044454	245.1134497	244.2563522	244.0494666	245.8490429	247.5336827	246.0427929	247.9725403	249.8710527	251.7378723	253.572566	255.3747254	257.1439668	258.8799311	260.5822844	262.2507174	263.8849458	265.48471	267.049775	268.5799307	270.0749912	271.5347951	272.9592052	274.348108	275.7014142	277.0190577	278.3009957	279.5472085	280.7576991	281.9324927	283.0716369	284.1752006	285.2432744	286.2759696	287.2734184	288.235773	289.1632054	290.0559068	290.9140877	291.7379768	292.5278208	293.2838842	294.0064483	294.6958114	295.3522876	295.9762068	296.5679143	297.1277698	297.6561473	298.1534346	298.6200326	299.0563551	299.4628281	299.8398892	300.1879873	300.5075823	300.7991442	301.0631527	301.3000971	301.5104754	301.6947941	301.8535674	301.9873173	302.0965727	302.181869	302.2437478	302.2827565	
DE Onshore Thuringen_Weimar 2705 51.0 11.25 100M Generator NWST	775.4766047	775.4766047	775.4766047	775.4766047	775.4766047	775.4766047	775.4766047	775.4766047	775.4766047	775.4766047	775.4766047	819.7501537	829.3882383	853.3395657	883.29833	900.190982	914.276075	910.5876023	906.5345007	892.3631503	879.5045187	876.5664153	879.250739	875.4411093	873.120166	874.9370663	871.8776407	871.1391587	877.56278	883.5761333	878.2543743	885.1426439	891.9194195	898.5830672	905.1320411	911.564883	917.8802231	924.0767804	930.1533625	936.1088655	941.9422744	947.6526627	953.2391918	958.7011112	964.0377579	969.2485554	974.3330138	979.2907288	984.1213806	988.8247337	993.4006356	997.8490156	1002.169884	1006.363332	1010.429529	1014.36872	1018.18123	1021.867455	1025.427867	1028.86301	1032.173497	1035.360012	1038.423305	1041.364192	1044.183555	1046.882338	1049.461544	1051.922238	1054.265542	1056.492634	1058.604745	1060.60316	1062.489213	1064.264289	1065.92982	1067.487281	1068.938194	1070.284121	1071.526664	1072.667464	1073.708199	1074.650583	1075.49636	1076.24731	1076.905239	1077.471983	1077.949406	1078.339395	1078.643862	1078.864739	1079.003981	
NRW	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6098.657427	6433.850586	6854.237615	7008.157403	7195.71206	7459.768046	7735.027693	7883.772595	7994.406864	8008.335273	8014.674854	8063.125387	8087.817226	8052.774223	8031.424947	8048.137764	8019.995537	8013.202586	8072.29048	8127.604512	8078.652133	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	8086.846804	
HES	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2292.744437	2513.060138	2708.560516	2953.901779	3555.606889	4330.691534	5119.823327	5821.843301	6475.908927	6886.206241	7048.037835	7070.916796	7092.570178	7061.839395	7043.117257	7057.773476	7033.094294	7027.13725	7078.954078	7127.461437	7084.532897	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	7091.719172	
TH	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1288.599369	1295.142699	1297.006528	1353.174685	1417.858724	1486.663625	1544.883699	1536.939346	1528.643941	1503.079971	1479.404305	1473.419469	1477.931545	1471.527944	1467.626673	1470.680698	1465.538113	1464.2968	1475.094257	1485.202096	1476.256757	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	1477.754215	
SN	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1682.13013	1811.679111	1839.661451	1883.431355	1940.965628	1957.241134	1970.386376	1963.293134	1955.281531	1925.549465	1898.811404	1892.989512	1898.786444	1890.559357	1885.547162	1889.47085	1882.863866	1881.269076	1895.141211	1908.127352	1896.634744	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	1898.558617	
RLF	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3799.496727	3929.654162	3963.722279	4222.022003	4404.956478	4469.818786	4527.872932	4525.135385	4487.57185	4402.737548	4328.054134	4296.479435	4309.636613	4290.963762	4279.587686	4288.4932	4273.497464	4269.877804	4301.363104	4330.837481	4304.752944	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	4309.119519	
SL	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	480.1503042	482.5884415	480.5953488	552.6398254	547.5904088	546.3962625	547.3604099	541.2966058	534.5466774	522.8163602	513.2108162	506.9519959	508.5044432	506.3011883	504.9588977	506.0096808	504.2402976	503.8132052	507.5282318	511.0059849	507.9282073	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	508.44343	
